T: 9800
dT: 700
M: 2.55
dM: 0.2
R: 2.7
dR: 0.5
vrot: 116
dvrot: 9
logmdot: -7.74
Abundance Normalization: Ntot
Element,logX,dlogX
He,-1.24,0.2
C,-3.33,0.22
N,-3.9,0.3
O,-3.27,0.2
Mg,-4.89,0.33
Si,-4.76,0.22
Ca,-6.1,0.17
Sc,-9.04,0.34
Ti,-7.47,0.27
Cr,-6.67,0.27
Fe,-4.91,0.25
Ni,-6.16,0.27
Sr,-9.6,0.3
Ba,-9.7,0.4

References:

Folsom et al. 2012 unless otherwise specified.
logmdot comes from Fairlamb et al. 2015
