T: 9800
dT: 500
M: 2.4
dM: 0.2
R: 2
dR: 0.3
vrot: 222
dvrot: 7
logmdot: -7.65
dlogmdotMinus: 0.33
dlogmdotPlus: 0.47
Abundance Normalization: Ntot
Element,logX,dlogX
He,-1.21,0.37
C,-3.63,0.29
N,-4.0,0.3
O,-3.05,0.1
Mg,-4.9,0.11
Al,-5.6,0.5
Si,-4.99,0.31
Ca,-6.34,0.38
Sc,-9.18,0.37
Ti,-7.74,0.32
Cr,-7.31,0.31
Fe,-5.25,0.32
Sr,-10.5,0.5
Ba,-9.2,0.8

References:

Folsom et al. 2012 unless otherwise specified.
logmdot, dlogmdotMinus, dlogmdotPlus come from 
