T: 9200
dT: 300
M: 2.3
dM: 0.1
R: 2.2
dR: 0.2
vrot: 122
dvrot: 3
logmdot: -7.49
dlogmdotMinus: 0.14
dlogmdotPlus: 0.3
Abundance Normalization: Ntot
Element,logX,dlogX
C,-3.82,0.25
O,-3.31,0.15
Na,-5.6,0.5
Mg,-4.12,0.15
Al,-5.5,0.4
Si,-4.24,0.14
Ca,-5.54,0.3
Sc,-8.76,0.08
Ti,-6.92,0.1
Cr,-5.95,0.2
Mn,-7.0,0.5
Fe,-4.39,0.15
Ni,-5.72,0.12
Ba,-10.0,0.4

References:

Folsom et al. 2012 unless otherwise specified.
logmdot, dlogmdotMinus, dlogmdotPlus come from 
