Abundance Normalization: Ntot
Element,logX,dlogX
He,-0.67,0.2
C,-3.4,0.4
O,-3.0,0.16
Ne,-3.93,0.36
Mg,-4.19,0.14
Al,-5.07,0.21
Si,-4.11,0.09
P,-5.86,0.3
S,-4.93,0.26
Mn,-5.92,0.16
Fe,-3.92,0.12
Ni,-5.19,0.18

References:

Folsom et al. 2012 unless otherwise specified.
