T: 8000
dT: 250
M: 1.8
dM: 0.1
R: 1.7
dR: 0.3
vrot: 83.8
dvrot: 4.6
Abundance Normalization: Ntot
Element,logX,dlogX
C,-3.57,0.17
N,-4.0,0.3
O,-3.41,0.05
Na,-6.3,0.3
Mg,-4.91,0.11
Si,-4.97,0.19
S,-4.83,0.14
Ca,-6.28,0.18
Sc,-9.52,0.21
Ti,-7.81,0.1
Cr,-7.04,0.18
Mn,-7.3,0.4
Fe,-5.12,0.16
Ni,-6.37,0.22
Y,-10.4,0.4
Ba,-10.2,0.3
Nd,-10.2,0.3

References:

Folsom et al. 2012 unless otherwise specified.
