T: 8700
dT: 220
M: 2.75
dM: 0.4
R: 3.6
dR: 0.8
vrot: 101
dvrot: 5
logmdot: -7.2
dlogmdotMinus: 0
dlogmdotPlus: 0
Element,logX,dlogX
C,-3.68952947242,0.17
N,-4.19952947242,0.3
O,-3.22952947242,0.08
Na,-5.39952947242,0.3
Mg,-4.02952947242,0.22
Si,-4.33952947242,0.06
S,-4.47952947242,0.15
Ca,-5.41952947242,0.24
Sc,-8.74952947242,0.24
Ti,-6.80952947242,0.31
Cr,-6.06952947242,0.16
Mn,-6.90952947242,0.23
Fe,-4.34952947242,0.24
Ni,-5.99952947242,0.18
Y,-9.79952947242,0.4
Ba,-9.59952947242,0.2
