Abundance Normalization: Ntot
Element,logX,dlogX
He,-0.9,0.2
C,-3.72,0.14
N,-3.6,0.2
O,-3.26,0.11
Ne,-3.8,0.3
Na,-5.13,0.15
Mg,-4.38,0.17
Al,-5.58,0.17
Si,-4.48,0.06
S,-4.57,0.2
Ca,-5.61,0.12
Sc,-8.85,0.2
Ti,-7.16,0.12
V,-7.99,0.25
Cr,-6.13,0.13
Mn,-6.54,0.08
Fe,-4.42,0.06
Ni,-5.69,0.17
Zn,-7.52,0.25
Y,-9.7,0.2
Zr,-9.2,0.3
Ba,-9.71,0.13

References:

Folsom et al. 2012 unless otherwise specified.
