T: 8190
dT: 150
M: 2.8
dM: 0.5
R: 4
dR: 1
vrot: 57.8
dvrot: 1
logmdot: -6.05
dlogmdotMinus: 0
dlogmdotPlus: 0
Abundance Normalization: Ntot
Element,logX,dlogX
C,-3.61,0.16
O,-3.18,0.1
Na,-5.58,0.15
Mg,-4.23,0.14
Si,-4.58,0.11
S,-4.79,0.16
Ca,-5.59,0.16
Sc,-8.9,0.26
Ti,-6.98,0.2
V,-7.8,0.4
Cr,-6.3,0.17
Mn,-6.7,0.16
Fe,-4.49,0.14
Ni,-5.76,0.2
Zn,-7.8,0.4
Sr,-9.4,0.3
Y,-9.56,0.17
Zr,-9.3,0.3
Ba,-9.46,0.29

References:

Folsom et al. 2012 unless otherwise specified.
