T: 9000
dT: 300
M: 2.2
dM: 0.15
R: 1.9
dR: 0.2
vrot: 51
dvrot: 4
logmdot: -7.78
dlogmdotMinus: 0.30
dlogmdotPlus: 0.38
Abundance Normalization: Ntot
Element,logX,dlogX
C,-3.27,0.18
N,-3.7,0.3
O,-3.17,0.1
Na,-6.2,0.4
Mg,-5.11,0.14
Si,-5.36,0.15
S,-4.6,0.3
Ca,-6.47,0.23
Sc,-9.49,0.26
Ti,-7.71,0.25
Cr,-6.98,0.24
Mn,-6.4,0.5
Fe,-5.16,0.22
Ni,-6.25,0.32
Ba,-10.3,0.4

References:

Folsom et al. 2012 unless otherwise specified.
