Abundance Normalization: H12
Element,logX,dlogX
Na,6.37,0.21
Mg,7.58,0.11
Si,7.50,0.13
Ca,6.40,0.23
Sc,2.95,0.24
Ti,5.19,0.09
V,3.99,0.34
Cr,6.06,0.09
Mn,5.62,0.23
Fe,7.70,0.09
Ni,6.44,0.11
Zn,4.62,0.88
Ba,2.20,0.41
