Element,logX,dlogX
Na,6.49,0.07
Mg,7.64,0.04
Si,7.34,0.04
Ca,6.55,0.07
Sc,3.41,0.05
Ti,5.12,0.03
V,4.44,0.07
Cr,5.92,0.03
Mn,5.27,0.10
Fe,7.65,0.03
Ni,6.28,0.04
Zn,4.06,0.33
Y,2.38,0.11
Ba,2.18,0.17
Nd,1.76,0.09
