Element,logX,dlogX
Mg,7.74,0.06
Ca,6.22,0.08
Ti,4.83,0.05
Cr,5.75,0.06
Mn,5.51,0.13
Fe,7.54,0.04
Ni,6.33,0.08
Ba,2.09,0.42
