T: 6100
dT: 200
vrot: 10.6
dvrot: 0.2
Abundance Normalization: H12
Element,logX,dlogX
C,8.91,0.08
Na,6.05,0.05
Mg,7.28,0.01
Si,6.94,0.03
S,7.81,0.28
Ca,6.22,0.06
Sc,3.16,0.05
Ti,4.93,0.02
V,3.81,0.07
Cr,5.53,0.02
Mn,5.30,0.07
Fe,7.28,0.01
Ni,5.99,0.03
Zn,4.69,0.28
Y,2.07,0.09
Ba,2.42,0.09
Nd,1.61,0.07

References:

AJ Martin et. al. 2017 unless otherwise noted
