T: 10000
dT: 200
vrot: 170.2
dvrot: 3.6
Abundance Normalization: H12
Element,logX,dlogX
Mg,7.58,0.25
Ti,5.02,0.23
Cr,5.73,0.21
Fe,7.56,0.16

References:

AJ Martin et. al. 2017 unless otherwise noted
