T: 14200
dT: 500
vrot: 4.8
dvrot: 0.9
Abundance Normalization: H12
Element,logX,dlogX
Na,6.08,0.17
Mg,7.70,0.08
Si,6.91,0.12
Ca,6.42,0.16
Sc,3.01,0.15
Ti,4.92,0.08
V,4.05,0.18
Cr,5.62,0.07
Mn,5.25,0.22
Fe,7.39,0.06
Ni,6.02,0.10
Ba,2.18,0.39
Nd,1.63,0.25

References:

AJ Martin et. al. 2017 unless otherwise noted
