T: 6100
dT: 200
vrot: 50.3
dvrot: 0.5
Abundance Normalization: H12
Element,logX,dlogX
Na,6.24,0.09
Mg,7.45,0.03
Si,7.11,0.06
Ca,6.33,0.09
Sc,2.90,0.13
Ti,5.00,0.04
V,4.78,0.07
Cr,5.92,0.03
Mn,5.18,0.15
Fe,7.54,0.02
Ni,6.15,0.06
Ba,2.41,0.13
Nd,1.98,0.14

References:

AJ Martin et. al. 2017 unless otherwise noted
