Element,logX,dlogX
C,8.50,0.19
Na,6.24,0.17
Mg,7.59,0.09
Si,7.51,0.10
Ca,6.32,0.12
Sc,3.13,0.14
Ti,4.97,0.06
Cr,5.69,0.08
Mn,5.45,0.16
Fe,7.51,0.07
Ni,6.27,0.10
Ba,2.34,0.36
