T: 7200
dT: 200
vrot: 24.5
dvrot: 0.4
Abundance Normalization: H12
Element,logX,dlogX
C,8.92,0.13
Na,6.25,0.13
Mg,7.68,0.10
Si,7.26,0.10
Ca,6.19,0.13
Sc,3.11,0.11
Ti,5.23,0.06
Cr,5.92,0.07
Mn,5.46,0.16
Fe,7.73,0.07
Ni,6.30,0.08
Zn,4.71,0.44
Y,2.54,0.13
Ba,2.18,0.49

References:

AJ Martin et. al. 2017 unless otherwise noted
