T: 7600
dT: 200
vrot: 54.1
dvrot: 0.7
Abundance Normalization: H12
Element,logX,dlogX
C,8.63,0.11
Mg,7.29,0.08
Si,7.39,0.08
S,7.92,0.11
Ca,6.63,0.17
Ti,5.24,0.02
Cr,5.95,0.07
Mn,5.63,0.23
Fe,7.74,0.05
Ni,6.16,0.11

References:

AJ Martin et. al. 2017 unless otherwise noted
