T: 7050
dT: 150
vrot: 260
dvrot: 15
General uncertainty: 0.30
Abundance Normalization: Ntot
Element,logX,dlogX
C,-3.47,0
Mg,-5.11,0.32
Si,-3.58,0
Ca,-5.69,0.17
Sc,-9.43,0
Ti,-7.48,0.32
Cr,-6.76,0.15
Mn,-6.34,0.08
Fe,-4.62,0.05
Ni,-5.65,0.65
Y,-8.64,0.03
Ba,-8.55,0

References:

L Fossati et al. 2011 unless otherwise specified
