T: 7650
dT: 200
M: 1.66
dM: 0.008
logL: 0.92
vrot: 85
dvrot: 5
General uncertainty: 0.34
Abundance Normalization: Ntot
Element,logX,dlogX
C,-3.38,0.14
Na,-5.78,0.03
Mg,-4.86,0.07
Si,-4.37,0.15
Ca,-6.23,0.09
Sc,-9.17,0.19
Ti,-7.64,0.17
Cr,-6.50,0.15
Mn,-6.83,0.14
Fe,-5.08,0.13
Ni,-6.09,0.18
Ba,-9.18,0.16

References:

L Fossati et al. 2011 unless otherwise specified
