T: 11000
dT: 250
M: 2.71
dM: 0.14
logL: 1.76
vrot: 136
dvrot: 7
General uncertainty: 0.26
Abundance Normalization: Ntot
Element,logX,dlogX
Mg,-4.10,0.28
Si,-4.77,0.45
Ti,-7.12,0.22
Cr,-5.15,0.15
Fe,-4.20,0.23

References:

L Fossati et al. 2011 unless otherwise specified
