T: 11700
dT: 250
M: 3.17
dM: 0.16
logL: 2.10
vrot: 202
dvrot: 11
General uncertainty: 0.30
Abundance Normalization: Ntot
Element,logX,dlogX
He,-1.00,0.03
C,-3.60,0
O,-3.28,0
Mg,-4.29,0.10
Al,-5.70,0
Si,-4.52,0.01
Ti,-6.54,0.18
Cr,-5.99,0.14
Fe,-4.47,0.14

References:

L Fossati et al. 2011 unless otherwise specified
