General uncertainty: 0.23
Element,logX,dlogX
Na,-6.13,0.06
Mg,-4.62,0.21
Si,-4.09,0.21
Ca,-5.67,0.07
Sc,-8.56,0.22
Ti,-7.44,0.14
Cr,-6.81,0.09
Mn,-6.83,0.08
Fe,-5.03,0.15
Ni,-6.04,0.04
Zn,-6.79,0
Ba,-9.63,0
