General uncertainty: 0.32
Element,logX,dlogX
C,-3.50,0
Mg,-5.27,0.16
Si,-4.34,0
Ca,-5.35,0
Sc,-9.68,0
Ti,-6.67,0.08
Cr,-6.58,0.11
Mn,-6.82,0
Fe,-4.50,0.10
Ba,-9.70,0
