T: 7600
dT: 200
vrot: 57
dvrot: 3
General uncertainty: 0.22
Abundance Normalization: Ntot
Element,logX,dlogX
C,-3.49,0.12
Na,-5.69,0.04
Mg,-4.87,0.06
Si,-4.27,0.13
S,-4.37,0
Ca,-6.03,0.25
Sc,-9.23,0.09
Ti,-7.16,0.04
Cr,-6.27,0.15
Mn,-6.75,0.22
Fe,-4.61,0.16
Ni,-5.67,0.16
Zn,-7.15,0
Y,-9.64,0.16
Ba,-8.51,0.16

References:

L Fossati et al. 2011 unless otherwise specified
