General uncertainty: 0.22
Element,logX,dlogX
He,-0.90,0.05
C,-3.47,0
O,-3.28,0.01
Mg,-4.35,0.16
Al,-5.56,0
Si,-4.39,0.10
Ca,-5.77,0
Sc,-9.21,0
Ti,-6.88,0.14
Cr,-6.15,0.13
Mn,-6.10,0
Fe,-4.29,0.14
Sr,-9.34,0
