Element,logX,dlogX
C,-3.27,0.13
Mg,-4.28,0.02
Al,-5.35,0
Si,-4.71,0.24
Ca,-5.30,0.09
Sc,-8.81,0.04
Ti,-6.85,0.13
Cr,-6.04,0.09
Mn,-5.99,0.03
Fe,-4.38,0.09
Ni,-5.55,0.30
Ba,-8.17,0.11
