T: 10800
dT: 200
M: 2.80
dM: 0.14
logL: 1.89
vrot: 81
dvrot: 6
General uncertainty: 0.23
Abundance Normalization: Ntot
Element,logX,dlogX
He,-1.48,0
O,-3.41,0
Mg,-4.56,0.01
Al,-5.43,0
Si,-4.58,0.09
Ca,-5.29,0
Ti,-6.87,0.08
Cr,-5.90,0.23
Mn,-5.19,0.23
Fe,-4.20,0.14
Y,-9.81,0
Ba,-9.09,0

References:

L Fossati et al. 2011 unless otherwise specified
