T: 9700
dT: 200
M: 2.20
dM: 0.11
logL: 1.41
vrot: 160
dvrot: 6
General uncertainty: 0.28
Abundance Normalization: Ntot
Element,logX,dlogX
Mg,-4.03,0.11
Si,-4.26,0.09
Ti,-7.00,0.28
Cr,-6.39,0.10
Fe,-4.43,0.15

References:

L Fossati et al. 2011 unless otherwise specified
