T: 11600
dT: 250
M: 3.15
dM: 0.16
logL: 2.11
vrot: 25
dvrot: 2
General uncertainty: 0.20
Abundance Normalization: Ntot
Element,logX,dlogX
He,-0.98,0
Mg,-4.58,0.16
Al,-5.76,0
Si,-4.42,0
S,-4.45,0
Ti,-7.26,0.25
Cr,-6.48,.13
Fe,-4.57,0.16

References:

L Fossati et al. 2011 unless otherwise specified
