T: 12400
dT: 300
M: 3.60
dM: 0.18
logL: 2.35
vrot: 17
dvrot: 1
General uncertainty: 0.20
Abundance Normalization: Ntot
Element,logX,dlogX
He,-1.02,0.05
O,-3.41,0.01
Mg,-4.64,0.08
Al,-5.77,0.17
Si,-4.63,0
S,-4.77,0.17
Ti,-7.27,0
Cr,-6.63,0.12
Fe,-4.75,0.15
Ni,-5.86,0

References:

L Fossati et al. 2011 unless otherwise specified
