T: 12000
dT: 300
M: 3.40
dM: 0.17
logL: 2.25
vrot: 133
dvrot: 5
General uncertainty: 0.26
Abundance Normalization: Ntot
Element,logX,dlogX
He,-0.90,0
Mg,-4.55,0.36
Al,-5.85,0
Si,-4.54,0.01
Ti,-7.31,0.10
Cr,-6.78,0.12
Fe,-4.60,0.05

References:

L Fossati et al. 2011 unless otherwise specified
